,id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
37946,37947,0.000992,udp,dns,CON,2,2,146,178,3024.193589,31,29,588709.6875,717741.9375,0,0,0.001,0.009000000000000001,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,1,0,1,1,1,1,0,0,0,1,2,0,Normal,0
40531,40532,0.8356,tcp,-,FIN,14,10,774,556,27.525131,254,252,6883.67627,4796.553223,4,3,62.090618000000006,84.633781,3009.5393879999997,103.052437,255,3696386568,3498734042,255,0.102625,0.073893,0.028732,55,56,0,0,2,1,1,1,1,2,0,0,0,1,2,0,Normal,0
38705,38706,0.153501,tcp,-,FIN,84,86,4862,77276,1100.969998,31,29,250421.8125,3980586.25,7,36,1.8453490000000001,1.799482,94.937049,93.5781,255,144765080,174695635,255,0.0007070000000000001,0.000541,0.000166,58,899,0,0,8,0,5,1,1,2,0,0,0,5,6,0,Normal,0
78503,78504,0.879294,tcp,-,FIN,12,6,4194,268,19.333693,254,252,34982.61328,2037.998657,3,1,77.855001,162.82379699999998,4529.966801,276.206625,255,1063768697,545328345,255,0.198729,0.06517200000000001,0.13355699999999998,350,45,0,0,7,1,1,2,1,4,0,0,0,3,4,0,Normal,0
43367,43368,0.35804400000000003,tcp,-,FIN,10,6,1612,268,41.894292,254,252,32420.5957,5004.97168,2,1,38.158,61.637602,1916.695067,80.519375,255,795723027,803437118,255,0.073896,0.049848,0.024048,161,45,0,0,8,1,2,2,1,8,0,0,0,2,8,0,Normal,0
3610,3611,0.32575,tcp,http,FIN,12,6,4200,268,52.187261,254,252,94551.03906,5501.151367,3,1,25.175635999999997,53.502398,1343.856548,69.49346899999999,255,2913962213,3893286705,255,0.082415,0.058235,0.02418,350,45,1,0,2,1,1,1,1,1,0,0,1,2,1,0,Exploits,1
41547,41548,2.380471,tcp,-,CON,6,2,998,86,2.940595,62,252,2796.085205,144.50921599999998,2,1,476.0942,0.003,27918.9255,0.0,255,1783499044,3669541591,255,1.9200119999999998,1.416022,0.5039899999999999,166,43,0,0,1,3,1,1,1,1,0,0,0,1,1,0,Normal,0
62638,62639,0.347974,tcp,-,FIN,10,6,854,268,43.106669000000004,62,252,17679.48242,5149.810059,2,1,33.318556,64.829199,1918.6382199999998,90.103602,255,1258345788,222259774,255,0.16068,0.023816,0.136864,85,45,0,0,2,1,1,1,1,1,0,0,0,1,1,0,Backdoor,1
28034,28035,0.018047,tcp,-,FIN,16,18,1540,1644,1828.5588289999998,31,29,640106.4375,688424.6875,4,4,1.181733,1.034294,72.75160100000001,1.9515360000000002,255,860618569,866938176,255,0.000579,0.00045700000000000005,0.000122,96,91,0,0,12,0,10,6,1,7,0,0,0,10,12,0,Normal,0
48685,48686,2.3697169999999996,tcp,http,FIN,14,6,1422,268,8.017835,254,252,4459.604492,756.208496,6,1,181.885231,472.78359400000005,18883.00777,939.8789999999999,255,3368243608,2867967533,255,0.049882,0.005795000000000001,0.044087,102,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1
